1
2020-02-06 15:49:24.721 FEED MONEY: 1
2020-02-06 15:51:11.603 FEED MONEY: 0 1
2020-02-06 15:53:28.802 FEED MONEY: $0 $1
2020-02-06 15:54:49.591 FEED MONEY: $0 $1
2020-02-06 15:55:28.648 FEED MONEY: $0 $1.00
2020-02-06 15:58:04.791 FEED MONEY: $0 $1.00
2020-02-06 15:59:49.317 FEED MONEY: $0 $1.00
2020-02-06 16:01:30.585 FEED MONEY: $0 $5.00
2020-02-06 16:12:01.538 FEED MONEY: $0 $1.00
2020-02-07 08:36:30.328 FEED MONEY: $0 $1.00
2020-02-07 08:36:57.211 FEED MONEY: $0 $2.00
2020-02-07 08:36:57.211 FEED MONEY: $2 $3.00
2020-02-07 08:36:57.211 FEED MONEY: $3.00 $4.00
2020-02-07 09:03:22.897 FEED MONEY: $0 $1.00
2020-02-07 09:03:22.897 FEED MONEY: $1.00 $3.00
2020-02-07 09:03:22.897 ITEM: Heavy SLOT: C4 PURCHASE AMOUNT: $1.50 BALANCE BEFORE PURCHASE: 3.00 REMAINING: $1.50
2020-02-07 09:05:07.448 FEED MONEY: $0 $10.00
2020-02-07 09:05:07.448Little League ChewD2109.05
2020-02-07 09:06:40.615 FEED MONEY: $0 $10.00
2020-02-07 09:06:40.615 U-Chews D1 $10 $9.15
2020-02-07 09:11:03.01 FEED MONEY: $0 $5.00
2020-02-07 09:11:03.01 FEED MONEY: $5 $15.00
2020-02-07 09:11:03.01 Heavy C4 $15 $13.50
2020-02-07 09:11:03.01 Triplemint D4 $13.50 $12.75
2020-02-07 09:12:17.867 FEED MONEY: $0 $5.00
2020-02-07 09:12:17.867 Triplemint D4 $5 $4.25
2020-02-07 09:12:17.867 GIVE CHANGE: $4.25 $0.00
2020-02-07 09:33:04.107 FEED MONEY: $0 $10.00
2020-02-07 09:33:04.107 Heavy C4 $10 $8.50
2020-02-07 09:33:04.107 GIVE CHANGE: $8.50 $0.00
2020-02-07 09:40:42.897 FEED MONEY: $0 $10.00
2020-02-07 09:40:42.897 Triplemint D4 $10 $9.25
2020-02-07 09:40:42.897 Triplemint D4 $9.25 $8.50
2020-02-07 09:40:42.897 Triplemint D4 $8.50 $7.75
2020-02-07 09:40:42.897 Triplemint D4 $7.75 $7.00
2020-02-07 09:40:42.897 Triplemint D4 $7.00 $6.25
2020-02-07 09:40:42.897 Potato Crisps A1 $6.25 $3.20
2020-02-07 09:40:42.897 Potato Crisps A1 $3.20 $0.15
2020-02-07 09:43:24.469 FEED MONEY: $0 $2.00
2020-02-07 09:46:37.416 FEED MONEY: $0 $1.00
2020-02-07 09:48:43.119 FEED MONEY: $0 $2.00
2020-02-07 09:53:39.475 FEED MONEY: $0 $5.00
2020-02-07 10:08:20.358 FEED MONEY: $0 $2.00
2020-02-07 10:10:13.382 FEED MONEY: $0 $2.00
2020-02-07 10:10:13.382 FEED MONEY: $2 $3.00
2020-02-07 10:17:26.258 FEED MONEY: $0 $1.00
2020-02-07 10:17:26.258 FEED MONEY: $1.00 $2.00
2020-02-07 10:19:10.067 FEED MONEY: $0 $10.00
2020-02-07 10:19:10.067 Triplemint D4 $10 $9.25
2020-02-07 10:19:10.067 Triplemint D4 $9.25 $8.50
2020-02-07 10:19:10.067 Triplemint D4 $8.50 $7.75
2020-02-07 10:19:10.067 Triplemint D4 $7.75 $7.00
2020-02-07 10:19:10.067 Triplemint D4 $7.00 $6.25
2020-02-07 10:22:00.359 FEED MONEY: $0 $1.00
2020-02-07 10:22:00.359 FEED MONEY: $1.00 $2.00
2020-02-07 10:22:00.359 FEED MONEY: $2.00 $3.00
2020-02-07 10:22:00.359 FEED MONEY: $3.00 $8.00
2020-02-07 10:26:51.139 FEED MONEY: $0 $10.00
2020-02-07 10:26:51.139 Potato Crisps A1 $10 $6.95
2020-02-07 10:26:51.139 Potato Crisps A1 $6.95 $3.90
2020-02-07 10:26:51.139 GIVE CHANGE: $3.90 $0.00
2020-02-07 10:27:43.858 FEED MONEY: $0 $10.00
2020-02-07 10:27:43.858 GIVE CHANGE: $10 $0.00
2020-02-07 10:27:43.858 FEED MONEY: $0 $10.00
2020-02-07 10:29:29.755 FEED MONEY: $0 $5.00
2020-02-07 10:29:29.755 FEED MONEY: $5 $10.00
2020-02-07 10:29:29.755 FEED MONEY: $10 $15.00
2020-02-07 10:29:29.755 FEED MONEY: $15 $20.00
2020-02-07 10:31:30.791 FEED MONEY: $0 $10.00
2020-02-07 10:31:30.791 FEED MONEY: $10 $11.00
2020-02-07 10:31:30.791 FEED MONEY: $11.00 $12.00
2020-02-07 10:31:30.791 FEED MONEY: $12.00 $13.00
2020-02-07 10:31:30.791 FEED MONEY: $13.00 $14.00
